Marca;Modello;Numero di Serie;Componente
Longi;LR4-60HPH-360M;LRR603089200300601615;modulo
Longi;LR4-60HPH-360M;LRR603089200300602835;modulo
Longi;LR4-60HPH-360M;LRR603089200300602840;modulo
Longi;LR4-60HPH-360M;LRR603089200300601613;modulo
Longi;LR4-60HPH-360M;LRR603089200300601953;modulo
Longi;LR4-60HPH-360M;LRR603089200300602828;modulo
Longi;LR4-60HPH-360M;LRR603089200300602838;modulo
Longi;LR4-60HPH-360M;LRR603089200300602829;modulo
Longi;LR4-60HPH-360M;LRR603089200300602839;modulo
Longi;LR4-60HPH-360M;LRR603089200300602653;modulo
Longi;LR4-60HPH-360M;LRR603089200300602656;modulo
Longi;LR4-60HPH-360M;LRR603089200300602833;modulo
Longi;LR4-60HPH-360M;LRR603089200300602822;modulo
Longi;LR4-60HPH-360M;LRR603089200300602704;modulo
Longi;LR4-60HPH-360M;LRR603089200300602708;modulo
Longi;LR4-60HPH-360M;LRR603089200300602707;modulo
Longi;LR4-60HPH-360M;LRR603089200300602710;modulo
Longi;LR4-60HPH-360M;LRR603089200300602692;modulo
Longi;LR4-60HPH-360M;LRR603089200300602696;modulo
Longi;LR4-60HPH-360M;LRR603089200300602695;modulo
Longi;LR4-60HPH-360M;LRR603089200300602668;modulo
Longi;LR4-60HPH-360M;LRR603089200300602831;modulo
Longi;LR4-60HPH-360M;LRR603089200300602674;modulo
Longi;LR4-60HPH-360M;LRR603089200300602671;modulo
Longi;LR4-60HPH-360M;LRR603089200300602677;modulo
Longi;LR4-60HPH-360M;LRR603089200300602681;modulo
Longi;LR4-60HPH-360M;LRR603089200300602663;modulo
Longi;LR4-60HPH-360M;LRR603089200300602682;modulo
Longi;LR4-60HPH-360M;LRR603089200300602736;modulo
Longi;LR4-60HPH-360M;LRR603089200300602665;modulo
Longi;LR4-60HPH-360M;LRR603089200300602732;modulo
Longi;LR4-60HPH-360M;LRR603089200300602742;modulo
Longi;LR4-60HPH-360M;LRR603089200300601685;modulo
Longi;LR4-60HPH-360M;LRR603089200300601584;modulo
Longi;LR4-60HPH-360M;LRR603089200300601644;modulo
Longi;LR4-60HPH-360M;LRR603089200300601650;modulo
Longi;LR4-60HPH-360M;LRR603089200300602768;modulo
Longi;LR4-60HPH-360M;LRR603089200300602691;modulo
Longi;LR4-60HPH-360M;LRR603089200300602818;modulo
Longi;LR4-60HPH-360M;LRR603089200300602659;modulo
Longi;LR4-60HPH-360M;LRR603089200300602662;modulo
Longi;LR4-60HPH-360M;LRR603089200300602763;modulo
Longi;LR4-60HPH-360M;LRR603089200300602856;modulo
Longi;LR4-60HPH-360M;LRR603089200300602851;modulo
Longi;LR4-60HPH-360M;LRR603089200300602743;modulo
Longi;LR4-60HPH-360M;LRR603089200300602746;modulo
Longi;LR4-60HPH-360M;LRR603089200300602749;modulo
Longi;LR4-60HPH-360M;LRR603089200300602690;modulo
Longi;LR4-60HPH-360M;LRR603089200300602734;modulo
Longi;LR4-60HPH-360M;LRR603089200300602670;modulo
Longi;LR4-60HPH-360M;LRR603089200300602750;modulo
Longi;LR4-60HPH-360M;LRR603089200300602747;modulo
Longi;LR4-60HPH-360M;LRR603089200300602744;modulo
Longi;LR4-60HPH-360M;LRR603089200300602683;modulo
Longi;LR4-60HPH-360M;LRR603089200300602859;modulo
Longi;LR4-60HPH-360M;LRR603089200300602765;modulo
Longi;LR4-60HPH-360M;LRR603089200300602796;modulo
Longi;LR4-60HPH-360M;LRR603089200300602661;modulo
Longi;LR4-60HPH-360M;LRR603089200300602698;modulo
Longi;LR4-60HPH-360M;LRR603089200300602721;modulo
Longi;LR4-60HPH-360M;LRR603089200300602817;modulo
Longi;LR4-60HPH-360M;LRR603089200300602770;modulo
Longi;LR4-60HPH-360M;LRR603089200300601646;modulo
Longi;LR4-60HPH-360M;LRR603089200300601587;modulo
Longi;LR4-60HPH-360M;LRR603089200300601496;modulo
Longi;LR4-60HPH-360M;LRR603089200300601905;modulo
Longi;LR4-60HPH-360M;LRR603089200300601907;modulo
Longi;LR4-60HPH-360M;LRR603089200300601640;modulo
Longi;LR4-60HPH-360M;LRR603089200300601684;modulo
Longi;LR4-60HPH-360M;LRR603089200300601689;modulo
Longi;LR4-60HPH-360M;LRR603089200300601648;modulo
Longi;LR4-60HPH-360M;LRR603089200300601690;modulo
Longi;LR4-60HPH-360M;LRR603089200300601662;modulo
Longi;LR4-60HPH-360M;LRR603089200300601495;modulo
Longi;LR4-60HPH-360M;LRR603089200300601631;modulo
Longi;LR4-60HPH-360M;LRR603089200300601634;modulo
Longi;LR4-60HPH-360M;LRR603089200300601682;modulo
Longi;LR4-60HPH-360M;LRR603089200300601670;modulo
Longi;LR4-60HPH-360M;LRR603089200300601666;modulo
Longi;LR4-60HPH-360M;LRR603089200300601657;modulo
Longi;LR4-60HPH-360M;LRR603089200300601668;modulo
Longi;LR4-60HPH-360M;LRR603089200300601605;modulo
Longi;LR4-60HPH-360M;LRR603089200300601609;modulo
Longi;LR4-60HPH-360M;LRR603089200300601594;modulo
Longi;LR4-60HPH-360M;LRR603089200300601660;modulo
Longi;LR4-60HPH-360M;LRR603089200300601663;modulo
Longi;LR4-60HPH-360M;LRR603089200300601602;modulo
Longi;LR4-60HPH-360M;LRR603089200300601408;modulo
Longi;LR4-60HPH-360M;LRR603089200300601494;modulo
Longi;LR4-60HPH-360M;LRR603089200300601658;modulo
Longi;LR4-60HPH-360M;LRR603089200300601659;modulo
Longi;LR4-60HPH-360M;LRR603089200300601686;modulo
Longi;LR4-60HPH-360M;LRR603089200300601630;modulo
Longi;LR4-60HPH-360M;LRR603089200300601589;modulo
Longi;LR4-60HPH-360M;LRR603089200300601687;modulo
Longi;LR4-60HPH-360M;LRR603089200300601908;modulo
Longi;LR4-60HPH-360M;LRR603089200300601681;modulo
Longi;LR4-60HPH-360M;LRR603089200300601906;modulo
Longi;LR4-60HPH-360M;LRR603089200300601498;modulo
Longi;LR4-60HPH-360M;LRR603089200300601683;modulo
Longi;LR4-60HPH-360M;LRR603089200300601500;modulo
Longi;LR4-60HPH-360M;LRR603089200300601597;modulo
Longi;LR4-60HPH-360M;LRR603089200300601910;modulo
Longi;LR4-60HPH-360M;LRR603089200300601586;modulo
Longi;LR4-60HPH-360M;LRR603089200300601585;modulo
Longi;LR4-60HPH-360M;LRR603089200300601635;modulo
Longi;LR4-60HPH-360M;LRR603089200300601404;modulo
Longi;LR4-60HPH-360M;LRR603089200300601485;modulo
Longi;LR4-60HPH-360M;LRR603089200300601487;modulo
Longi;LR4-60HPH-360M;LRR603089200300601411;modulo
Longi;LR4-60HPH-360M;LRR603089200300601900;modulo
Longi;LR4-60HPH-360M;LRR603089200300601417;modulo
Longi;LR4-60HPH-360M;LRR603089200300601401;modulo
Longi;LR4-60HPH-360M;LRR603089200300601935;modulo
Longi;LR4-60HPH-360M;LRR603089200300601939;modulo
Longi;LR4-60HPH-360M;LRR603089200300601962;modulo
Longi;LR4-60HPH-360M;LRR603089200300600774;modulo
Longi;LR4-60HPH-360M;LRR603089200300600906;modulo
Longi;LR4-60HPH-360M;LRR603089200300600924;modulo
Longi;LR4-60HPH-360M;LRR603089200300600766;modulo
Longi;LR4-60HPH-360M;LRR603089200300600928;modulo
Longi;LR4-60HPH-360M;LRR603089200300600902;modulo
Longi;LR4-60HPH-360M;LRR603089200300601966;modulo
Longi;LR4-60HPH-360M;LRR603089200300601970;modulo
Longi;LR4-60HPH-360M;LRR603089200300601964;modulo
Longi;LR4-60HPH-360M;LRR603089200300601963;modulo
Longi;LR4-60HPH-360M;LRR603089200300601960;modulo
Longi;LR4-60HPH-360M;LRR603089200300600758;modulo
Longi;LR4-60HPH-360M;LRR603089200300602090;modulo
Longi;LR4-60HPH-360M;LRR603089200300601942;modulo
Longi;LR4-60HPH-360M;LRR603089200300600905;modulo
Longi;LR4-60HPH-360M;LRR603089200300600930;modulo
Longi;LR4-60HPH-360M;LRR603089200300600769;modulo
Longi;LR4-60HPH-360M;LRR603089200300600927;modulo
Longi;LR4-60HPH-360M;LRR603089200300600923;modulo
Longi;LR4-60HPH-360M;LRR603089200300600760;modulo
Longi;LR4-60HPH-360M;LRR603089200300600772;modulo
Longi;LR4-60HPH-360M;LRR603089200300602089;modulo
Longi;LR4-60HPH-360M;LRR603089200300601954;modulo
Longi;LR4-60HPH-360M;LRR603089200300601931;modulo
Longi;LR4-60HPH-360M;LRR603089200300601950;modulo
Longi;LR4-60HPH-360M;LRR603089200300601415;modulo
Longi;LR4-60HPH-360M;LRR603089200300601412;modulo
Longi;LR4-60HPH-360M;LRR603089200300601488;modulo
Longi;LR4-60HPH-360M;LRR603089200300601486;modulo
Longi;LR4-60HPH-360M;LRR603089200300601959;modulo
Longi;LR4-60HPH-360M;LRR603089200300602169;modulo
Longi;LR4-60HPH-360M;LRR603089200300601994;modulo
Longi;LR4-60HPH-360M;LRR603089200300600903;modulo
Longi;LR4-60HPH-360M;LRR603089200300602088;modulo
Longi;LR4-60HPH-360M;LRR603089200300600770;modulo
Longi;LR4-60HPH-360M;LRR603089200300600765;modulo
Longi;LR4-60HPH-360M;LRR603089200300600748;modulo
Longi;LR4-60HPH-360M;LRR603089200300600742;modulo
Longi;LR4-60HPH-360M;LRR603089200300601984;modulo
Longi;LR4-60HPH-360M;LRR603089200300602000;modulo
Longi;LR4-60HPH-360M;LRR603089200300600755;modulo
Longi;LR4-60HPH-360M;LRR603089200300600925;modulo
Longi;LR4-60HPH-360M;LRR603089200300601961;modulo
Longi;LR4-60HPH-360M;LRR603089200300601380;modulo
Longi;LR4-60HPH-360M;LRR603089200300600922;modulo
Longi;LR4-60HPH-360M;LRR603089200300600752;modulo
Longi;LR4-60HPH-360M;LRR603089200300600756;modulo
Longi;LR4-60HPH-360M;LRR603089200300600757;modulo
Longi;LR4-60HPH-360M;LRR603089200300601989;modulo
Longi;LR4-60HPH-360M;LRR603089200300600745;modulo
Longi;LR4-60HPH-360M;LRR603089200300600751;modulo
Longi;LR4-60HPH-360M;LRR603089200300600768;modulo
Longi;LR4-60HPH-360M;LRR603089200300600753;modulo
Longi;LR4-60HPH-360M;LRR603089200300600762;modulo
Longi;LR4-60HPH-360M;LRR603089200300600904;modulo
Longi;LR4-60HPH-360M;LRR603089200300600390;modulo
Longi;LR4-60HPH-360M;LRR603089200300601955;modulo
Longi;LR4-60HPH-360M;LRR603089200300601753;modulo
Longi;LR4-60HPH-360M;LRR603089200300601728;modulo
Longi;LR4-60HPH-360M;LRR603089200300601724;modulo
Longi;LR4-60HPH-360M;LRR603089200300601755;modulo
Longi;LR4-60HPH-360M;LRR603089200300601742;modulo
Longi;LR4-60HPH-360M;LRR603089200300601678;modulo
Longi;LR4-60HPH-360M;LRR603089200300601673;modulo
Longi;LR4-60HPH-360M;LRR603089200300601780;modulo
Longi;LR4-60HPH-360M;LRR603089200300601610;modulo
Longi;LR4-60HPH-360M;LRR603089200300601593;modulo
Longi;LR4-60HPH-360M;LRR603089200300601746;modulo
Longi;LR4-60HPH-360M;LRR603089200300601592;modulo
Longi;LR4-60HPH-360M;LRR603089200300601604;modulo
Longi;LR4-60HPH-360M;LRR603089200300601777;modulo
Longi;LR4-60HPH-360M;LRR603089200300601608;modulo
Longi;LR4-60HPH-360M;LRR603089200300601761;modulo
Longi;LR4-60HPH-360M;LRR603089200300601781;modulo
Longi;LR4-60HPH-360M;LRR603089200300601590;modulo
Longi;LR4-60HPH-360M;LRR603089200300601632;modulo
Longi;LR4-60HPH-360M;LRR603089200300601599;modulo
Longi;LR4-60HPH-360M;LRR603089200300601759;modulo
Longi;LR4-60HPH-360M;LRR603089200300601675;modulo
Longi;LR4-60HPH-360M;LRR603089200300601758;modulo
Longi;LR4-60HPH-360M;LRR603089200300601649;modulo
Longi;LR4-60HPH-360M;LRR603089200300601727;modulo
Longi;LR4-60HPH-360M;LRR603089200300601786;modulo
Longi;LR4-60HPH-360M;LRR603089200300601652;modulo
Longi;LR4-60HPH-360M;LRR603089200300601757;modulo
Longi;LR4-60HPH-360M;LRR603089200300600377;modulo
Longi;LR4-60HPH-360M;LRR603089200300600416;modulo
Longi;LR4-60HPH-360M;LRR603089200300600394;modulo
Longi;LR4-60HPH-360M;LRR603089200300600397;modulo
Longi;LR4-60HPH-360M;LRR603089200300600425;modulo
Longi;LR4-60HPH-360M;LRR603089200300600429;modulo
Longi;LR4-60HPH-360M;LRR603089200300600413;modulo
Longi;LR4-60HPH-360M;LRR603089200300600415;modulo
Longi;LR4-60HPH-360M;LRR603089200300600379;modulo
Longi;LR4-60HPH-360M;LRR603089200300602180;modulo
Longi;LR4-60HPH-360M;LRR603089200300602194;modulo
Longi;LR4-60HPH-360M;LRR603089200300602196;modulo
Longi;LR4-60HPH-360M;LRR603089200300602191;modulo
Longi;LR4-60HPH-360M;LRR603089200300600573;modulo
Longi;LR4-60HPH-360M;LRR603089200300600417;modulo
Longi;LR4-60HPH-360M;LRR603089200300600414;modulo
Longi;LR4-60HPH-360M;LRR603089200300600411;modulo
Longi;LR4-60HPH-360M;LRR603089200300600426;modulo
Longi;LR4-60HPH-360M;LRR603089200300600423;modulo
Longi;LR4-60HPH-360M;LRR603089200300600396;modulo
Longi;LR4-60HPH-360M;LRR603089200300600391;modulo
Longi;LR4-60HPH-360M;LRR603089200300600378;modulo
Longi;LR4-60HPH-360M;LRR603089200300601679;modulo
Longi;LR4-60HPH-360M;LRR603089200300601598;modulo
Longi;LR4-60HPH-360M;LRR603089200300602666;modulo
Longi;LR4-60HPH-360M;LRR603089200300602787;modulo
Longi;LR4-60HPH-360M;LRR603089200300602715;modulo
Longi;LR4-60HPH-360M;LRR603089200300602737;modulo
Longi;LR4-60HPH-360M;LRR603089200300602812;modulo
Longi;LR4-60HPH-360M;LRR603089200300602815;modulo
Longi;LR4-60HPH-360M;LRR603089200300602819;modulo
Longi;LR4-60HPH-360M;LRR603089200300602724;modulo
Longi;LR4-60HPH-360M;LRR603089200300602727;modulo
Longi;LR4-60HPH-360M;LRR603089200300602729;modulo
Longi;LR4-60HPH-360M;LRR603089200300602713;modulo
Longi;LR4-60HPH-360M;LRR603089200300602718;modulo
Longi;LR4-60HPH-360M;LRR603089200300602702;modulo
Longi;LR4-60HPH-360M;LRR603089200300602667;modulo
Longi;LR4-60HPH-360M;LRR603089200300602719;modulo
Longi;LR4-60HPH-360M;LRR603089200300602716;modulo
Longi;LR4-60HPH-360M;LRR603089200300602711;modulo
Longi;LR4-60HPH-360M;LRR603089200300601903;modulo
Longi;LR4-60HPH-360M;LRR603089200300602673;modulo
Longi;LR4-60HPH-360M;LRR603089200300602820;modulo
Longi;LR4-60HPH-360M;LRR603089200300602816;modulo
Longi;LR4-60HPH-360M;LRR603089200300602813;modulo
Longi;LR4-60HPH-360M;LRR603089200300602739;modulo
Longi;LR4-60HPH-360M;LRR603089200300602783;modulo
Longi;LR4-60HPH-360M;LRR603089200300602784;modulo
Longi;LR4-60HPH-360M;LRR603089200300602788;modulo
Longi;LR4-60HPH-360M;LRR603089200300602703;modulo
Longi;LR4-60HPH-360M;LRR603089200300602709;modulo
Longi;LR4-60HPH-360M;LRR603089200300602096;modulo
Longi;LR4-60HPH-360M;LRR603089200300600584;modulo
Longi;LR4-60HPH-360M;LRR603089200300600945;modulo
Longi;LR4-60HPH-360M;LRR603089200300602127;modulo
Longi;LR4-60HPH-360M;LRR603089200300600337;modulo
Longi;LR4-60HPH-360M;LRR603089200300600921;modulo
Longi;LR4-60HPH-360M;LRR603089200300600910;modulo
Longi;LR4-60HPH-360M;LRR603089200300601468;modulo
Longi;LR4-60HPH-360M;LRR603089200300601911;modulo
Longi;LR4-60HPH-360M;LRR603089200300601543;modulo
Longi;LR4-60HPH-360M;LRR603089200300601928;modulo
Longi;LR4-60HPH-360M;LRR603089200300601655;modulo
Longi;LR4-60HPH-360M;LRR603089200300601559;modulo
Longi;LR4-60HPH-360M;LRR603089200300601547;modulo
Longi;LR4-60HPH-360M;LRR603089200300601924;modulo
Longi;LR4-60HPH-360M;LRR603089200300600908;modulo
Longi;LR4-60HPH-360M;LRR603089200300601378;modulo
Longi;LR4-60HPH-360M;LRR603089200300600434;modulo
Longi;LR4-60HPH-360M;LRR603089200300600432;modulo
Longi;LR4-60HPH-360M;LRR603089200300602107;modulo
Longi;LR4-60HPH-360M;LRR603089200300600501;modulo
Longi;LR4-60HPH-360M;LRR603089200300601991;modulo
Longi;LR4-60HPH-360M;LRR603089200300602781;modulo
Longi;LR4-60HPH-360M;LRR603089200300602706;modulo
AZZURRO - ZCS - SOFAR;SOFAE 12KTL-X;ZF4ES012L85977;inverter
AZZURRO - ZCS - SOFAR;SOFAE 12KTL-X;ZF4ES012L85982;inverter
AZZURRO - ZCS - SOFAR;SOFAE 12KTL-X;ZF4ES012L69668;inverter
AZZURRO - ZCS - SOFAR;SOFAE 11KTL-X;ZF4ES010L3R489;inverter
AZZURRO - ZCS - SOFAR;SOFAE 11KTL-X;ZF4ES010L3R488;inverter
AZZURRO - ZCS - SOFAR;SOFAE 11KTL-X;ZF4ES010L3R462;inverter
AZZURRO - ZCS - SOFAR;SOFAE 11KTL-X;ZF4ES010L3R490;inverter
AZZURRO - ZCS - SOFAR;SOFAE 11KTL-X;ZF4ES010L3R463;inverter
AZZURRO - ZCS - SOFAR;SOFAR 20000TL-G2;ZL1ES020L8G074;inverter
